Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols,Non-adaptive rounds,Non-adaptive MQ resets,Non-adaptive MQ input symbols,Non-adaptive EQ resets,Non-adaptive EQ input symbols,Non-adaptive total resets,Non-adaptive total input symbols
[8; 2; 1; 6; 15; 13; 9; 12; 3; 14; 11; 10; 5; 4; 7],20,80464,443300,3795320,24730531,3875784,25173831,30,73937,401613,4355463,28235499,4429400,28637112
[10; 15; 5; 2; 14; 1; 13; 3; 8; 12; 7; 9; 4; 6; 11],16,75988,416150,3662115,23933478,3738103,24349628,30,73937,401613,4355463,28235499,4429400,28637112
[3; 6; 15; 1; 8; 2; 12; 10; 4; 7; 13; 14; 11; 5; 9],19,80160,441376,3835760,24985573,3915920,25426949,30,73937,401613,4355463,28235499,4429400,28637112
[9; 11; 6; 7; 12; 3; 14; 13; 8; 4; 2; 5; 1; 10; 15],18,80066,440704,3750503,24443654,3830569,24884358,30,73937,401613,4355463,28235499,4429400,28637112
[15; 5; 10; 3; 4; 11; 9; 1; 14; 12; 8; 2; 7; 13; 6],17,78013,427759,3926822,25633165,4004835,26060924,30,73937,401613,4355463,28235499,4429400,28637112
[14; 9; 6; 11; 7; 13; 1; 5; 12; 3; 8; 4; 10; 15; 2],20,79321,436044,3845033,25098365,3924354,25534409,30,73937,401613,4355463,28235499,4429400,28637112
[7; 2; 6; 9; 3; 4; 12; 8; 15; 5; 10; 11; 14; 1; 13],18,77649,426818,3695704,24147536,3773353,24574354,30,73937,401613,4355463,28235499,4429400,28637112
[4; 9; 8; 12; 10; 2; 7; 11; 5; 15; 13; 3; 14; 1; 6],18,77375,424294,3783774,24695783,3861149,25120077,30,73937,401613,4355463,28235499,4429400,28637112
[7; 9; 2; 6; 12; 1; 15; 8; 14; 10; 4; 11; 5; 13; 3],18,78490,430692,3710109,24239195,3788599,24669887,30,73937,401613,4355463,28235499,4429400,28637112
[3; 7; 15; 13; 2; 5; 14; 10; 9; 11; 1; 4; 12; 8; 6],19,81079,447291,3867103,25134113,3948182,25581404,30,73937,401613,4355463,28235499,4429400,28637112
[1; 9; 7; 14; 3; 4; 13; 10; 15; 12; 6; 11; 2; 5; 8],20,79999,440421,3732000,24354184,3811999,24794605,30,73937,401613,4355463,28235499,4429400,28637112
[10; 9; 12; 11; 13; 14; 5; 6; 2; 4; 3; 8; 15; 1; 7],18,78501,432186,3742971,24408138,3821472,24840324,30,73937,401613,4355463,28235499,4429400,28637112
[7; 11; 14; 2; 13; 6; 3; 8; 5; 1; 15; 9; 12; 10; 4],18,79117,436076,3839661,24996371,3918778,25432447,30,73937,401613,4355463,28235499,4429400,28637112
[7; 14; 5; 15; 11; 10; 9; 3; 6; 8; 13; 2; 1; 4; 12],16,77961,430292,3704169,24169841,3782130,24600133,30,73937,401613,4355463,28235499,4429400,28637112
[2; 6; 15; 10; 4; 7; 13; 12; 5; 1; 3; 8; 11; 14; 9],18,78191,430318,3697163,24110626,3775354,24540944,30,73937,401613,4355463,28235499,4429400,28637112
[6; 2; 11; 8; 14; 13; 3; 1; 15; 7; 12; 4; 9; 5; 10],20,79793,439160,3823839,24913959,3903632,25353119,30,73937,401613,4355463,28235499,4429400,28637112
[7; 10; 4; 8; 9; 2; 12; 5; 13; 15; 14; 11; 6; 1; 3],18,78159,429950,3826068,24940975,3904227,25370925,30,73937,401613,4355463,28235499,4429400,28637112
[10; 7; 8; 15; 1; 9; 5; 2; 11; 12; 3; 13; 6; 14; 4],18,78152,429665,3814533,24898381,3892685,25328046,30,73937,401613,4355463,28235499,4429400,28637112
